id,item_id,item_code,item_name,transaction_no,date,reference,receipt_qty,receipt_unit_cost,receipt_total_cost,issue_qty,issue_unit_cost,issue_total_cost,balance_qty,balance_unit_cost,balance_total_cost,created_at,issue_office,no_of_days_to_consume
20,8,4977046,EPSON INK 003 - Cyan,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
21,23,9305209,EPSON INK 003 - Yellow,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,20,395.00,7900.00,0,0.00,0.00,20,395.00,7900.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
22,23,9305209,EPSON INK 003 - Yellow,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,40,395.00,15800.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
23,23,9305209,EPSON INK 003 - Yellow,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,60,395.00,23700.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
24,23,9305209,EPSON INK 003 - Yellow,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
25,41,8615046,EPSON INK 003 - Magenta,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,20,395.00,7900.00,0,0.00,0.00,20,395.00,7900.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
26,41,8615046,EPSON INK 003 - Magenta,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,40,395.00,15800.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
27,41,8615046,EPSON INK 003 - Magenta,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,60,395.00,23700.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
28,41,8615046,EPSON INK 003 - Magenta,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
29,101,8550374,EPSON INK 003 - Black,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,50,395.00,19750.00,0,0.00,0.00,50,395.00,19750.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
30,101,8550374,EPSON INK 003 - Black,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,100,395.00,39500.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
31,101,8550374,EPSON INK 003 - Black,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,150,395.00,59250.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
32,101,8550374,EPSON INK 003 - Black,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,200,395.00,79000.00,Mon Feb 16 2026 11:15:52 GMT+0800 (Philippine Standard Time),,
33,8,4977046,EPSON INK 003 - Cyan,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,20,395.00,7900.00,0,0.00,0.00,20,395.00,7900.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
34,8,4977046,EPSON INK 003 - Cyan,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,40,395.00,15800.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
35,8,4977046,EPSON INK 003 - Cyan,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,60,395.00,23700.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
36,8,4977046,EPSON INK 003 - Cyan,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
37,23,9305209,EPSON INK 003 - Yellow,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,20,395.00,7900.00,0,0.00,0.00,20,395.00,7900.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
38,23,9305209,EPSON INK 003 - Yellow,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,40,395.00,15800.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
39,23,9305209,EPSON INK 003 - Yellow,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,60,395.00,23700.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
40,23,9305209,EPSON INK 003 - Yellow,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
41,41,8615046,EPSON INK 003 - Magenta,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,20,395.00,7900.00,0,0.00,0.00,20,395.00,7900.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
42,41,8615046,EPSON INK 003 - Magenta,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,40,395.00,15800.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
43,41,8615046,EPSON INK 003 - Magenta,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,60,395.00,23700.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
44,41,8615046,EPSON INK 003 - Magenta,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,20,395.00,7900.00,0,0.00,0.00,80,395.00,31600.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
45,101,8550374,EPSON INK 003 - Black,0,Fri Aug 22 2025 00:00:00 GMT+0800 (Philippine Standard Time),IAR-2025-07-064,50,395.00,19750.00,0,0.00,0.00,50,395.00,19750.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
46,101,8550374,EPSON INK 003 - Black,1,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,100,395.00,39500.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
47,101,8550374,EPSON INK 003 - Black,2,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,150,395.00,59250.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
48,101,8550374,EPSON INK 003 - Black,3,Fri Jul 04 2025 00:00:00 GMT+0800 (Philippine Standard Time),2025-07-027,50,395.00,19750.00,0,0.00,0.00,200,395.00,79000.00,Thu Feb 19 2026 15:44:13 GMT+0800 (Philippine Standard Time),,
